installation,branch,state,joint_base,latitude,longitude,url
Naval Air Engineering Station Lakehurst,"Air Force, Army, Navy",NJ,Joint Base McGuire-Dix-Lakehurst,+40.0284776,-74.3752879,https://installations.militaryonesource.mil/military-installation/naval-air-engineering-station-lakehurst/child-and-youth-services/child-and-youth-programs
Naval Weapons Station Earle,Navy,NJ,,+40.2563492,-74.1539585,https://installations.militaryonesource.mil/military-installation/naval-weapons-station-earle/child-and-youth-services/child-and-youth-programs
Picatinny Arsenal,Army,NJ,,+40.9512086,-74.5424709,https://installations.militaryonesource.mil/military-installation/picatinny-arsenal/child-and-youth-services/child-and-youth-programs
Cannon AFB,Air Force,NM,,+34.3821366,-103.3169436,https://installations.militaryonesource.mil/military-installation/cannon-afb/child-and-youth-services/child-and-youth-programs
Holloman AFB,Air Force,NM,,+32.9096376,-106.1286975,https://installations.militaryonesource.mil/military-installation/holloman-afb/child-and-youth-services/child-and-youth-programs
Kirtland AFB,Air Force,NM,,+34.9939526,-106.4912688,https://installations.militaryonesource.mil/military-installation/kirtland-afb/child-and-youth-services/child-and-youth-programs
White Sands Missile Range,Army,NM,,+32.9441444,-106.4199043,https://installations.militaryonesource.mil/military-installation/white-sands-missile-range/child-and-youth-services/child-and-youth-programs
Creech AFB,Air Force,NV,,+36.5869099,-115.6768279,https://installations.militaryonesource.mil/military-installation/creech-afb/child-and-youth-services/child-and-youth-programs
Naval Air Station Fallon,Navy,NV,,+39.4224362,-118.7047462,https://installations.militaryonesource.mil/military-installation/naval-air-station-fallon/child-and-youth-services/child-and-youth-programs
Nellis AFB,Air Force,NV,,+36.2436209,-114.9933101,https://installations.militaryonesource.mil/military-installation/nellis-afb/child-and-youth-services/child-and-youth-programs
Nellis Air Force Range,Air Force,NV,,+37.4257769,-116.0711182,https://installations.militaryonesource.mil/military-installation/nellis-air-force-range/child-and-youth-services/child-and-youth-programs
Fort Drum,Army,NY,,+44.1246460,-75.5919648,https://installations.militaryonesource.mil/military-installation/fort-drum/child-and-youth-services/child-and-youth-programs
Fort Hamilton,Army,NY,,+40.6086079,-74.0287085,https://installations.militaryonesource.mil/military-installation/fort-hamilton/child-and-youth-services/child-and-youth-programs
Naval Support Activity Saratoga Springs,Navy,NY,,+43.0798784,-73.8235812,https://installations.militaryonesource.mil/military-installation/naval-support-activity-saratoga-springs/child-and-youth-services/child-and-youth-programs
United States Military Academy at West Point,Army,NY,,+41.3590138,-74.0322985,https://installations.militaryonesource.mil/military-installation/united-states-military-academy-at-west-point/child-and-youth-services/child-and-youth-programs
Wright-Patterson AFB,Air Force,OH,,+39.8228336,-84.0485041,https://installations.militaryonesource.mil/military-installation/wright-patterson-afb/child-and-youth-services/child-and-youth-programs
Altus AFB,Air Force,OK,,+34.6689268,-99.2709317,https://installations.militaryonesource.mil/military-installation/altus-afb/child-and-youth-services/child-and-youth-programs
Fort Sill,Army,OK,,+34.6829713,-98.4918198,https://installations.militaryonesource.mil/military-installation/fort-sill/child-and-youth-services/child-and-youth-programs
McAlester Army Ammunition Plant,Army,OK,,+34.8153792,-95.9419164,https://installations.militaryonesource.mil/military-installation/mcalester-army-ammunition-plant/child-and-youth-services/child-and-youth-programs
Tinker AFB,Air Force,OK,,+35.4192634,-97.3927365,https://installations.militaryonesource.mil/military-installation/tinker-afb/child-and-youth-services/child-and-youth-programs
Vance AFB,Air Force,OK,,+36.3418500,-97.9114812,https://installations.militaryonesource.mil/military-installation/vance-afb/child-and-youth-services/child-and-youth-programs
Carlisle Barracks,Army,PA,,+40.2077122,-77.1685001,https://installations.militaryonesource.mil/military-installation/carlisle-barracks/child-and-youth-services/child-and-youth-programs
Naval Support Activity Mechanicsburg,Navy,PA,,+40.2275579,-76.9868316,https://installations.militaryonesource.mil/military-installation/naval-support-activity-mechanicsburg/child-and-youth-services/child-and-youth-programs
Naval Support Activity Philadelphia,Navy,PA,,+40.0407091,-75.0946606,https://installations.militaryonesource.mil/military-installation/naval-support-activity-philadelphia/child-and-youth-services/child-and-youth-programs
Tobyhanna Army Depot,Army,PA,,+41.1976814,-75.4299103,https://installations.militaryonesource.mil/military-installation/tobyhanna-army-depot/child-and-youth-services/child-and-youth-programs
Naval Station Newport,Navy,RI,,+41.5176900,-71.3197189,https://installations.militaryonesource.mil/military-installation/naval-station-newport/child-and-youth-services/child-and-youth-programs
Charleston AFB,Air Force,SC,Joint Base Charleston,+32.8993892,-80.0505483,https://installations.militaryonesource.mil/military-installation/charleston-afb/child-and-youth-services/child-and-youth-programs
Fort Jackson,Army,SC,,+34.0394315,-80.8250965,https://installations.militaryonesource.mil/military-installation/fort-jackson/child-and-youth-services/child-and-youth-programs
Marine Corps Air Station Beaufort,Marine Corps,SC,,+32.4796571,-80.7125383,https://installations.militaryonesource.mil/military-installation/marine-corps-air-station-beaufort/child-and-youth-services/child-and-youth-programs
Marine Corps Recruit Depot Parris Island,Marine Corps,SC,,+32.3401212,-80.6933109,https://installations.militaryonesource.mil/military-installation/marine-corps-recruit-depot-parris-island/child-and-youth-services/child-and-youth-programs
Naval Weapons Station Charleston,Navy,SC,Joint Base Charleston,+32.9681630,-79.9593098,https://installations.militaryonesource.mil/military-installation/naval-weapons-station-charleston/child-and-youth-services/child-and-youth-programs
Shaw AFB,Air Force,SC,,+33.9726572,-80.4673192,https://installations.militaryonesource.mil/military-installation/shaw-afb/child-and-youth-services/child-and-youth-programs
Ellsworth AFB,Air Force,SD,,+44.1501521,-103.0898924,https://installations.militaryonesource.mil/military-installation/ellsworth-afb/child-and-youth-services/child-and-youth-programs
Arnold AFB,Air Force,TN,,+35.3664800,-86.1007956,https://installations.militaryonesource.mil/military-installation/arnold-afb/child-and-youth-services/child-and-youth-programs
Naval Support Activity Mid-South,Navy,TN,,+35.3348560,-89.8673815,https://installations.militaryonesource.mil/military-installation/naval-support-activity-mid-south/child-and-youth-services/child-and-youth-programs
Camp Bullis,Army,TX,"Joint Base San Antonio (Lackland, Randolph, Sam Houston)",+29.6858707,-98.5638545,https://installations.militaryonesource.mil/military-installation/camp-bullis/child-and-youth-services/child-and-youth-programs
Dyess AFB,Air Force,TX,,+32.4231885,-99.8386805,https://installations.militaryonesource.mil/military-installation/dyess-afb/child-and-youth-services/child-and-youth-programs
Fort Bliss,Army,TX,,+32.2928136,-106.0840640,https://installations.militaryonesource.mil/military-installation/fort-bliss/child-and-youth-services/child-and-youth-programs
